,Site,Year,Month,Week,x
4404,Allers,2021,09,37,299940
4405,Alloa,2021,09,37,195319
4406,Alva,2021,09,37,211164.5
4407,Annan,2021,09,37,433865
4408,Ardoch,2021,09,37,NA
4409,Armadale,2021,09,37,564655.5
4410,Aviemore,2021,09,37,NA
4411,Banchory,2021,09,37,87542
4412,Banff,2021,09,37,271561
4413,Bathgate,2021,09,37,233655
4414,Blackridge,2021,09,37,1165431
4415,Blackwood,2021,09,37,93197
4416,Blairgowrie,2021,09,37,149057
4417,Boness,2021,09,37,42662
4418,Bonnybridge,2021,09,37,287630
4419,Bothwellbank,2021,09,37,658297
4420,Bowhouse,2021,09,37,314952
4421,Buckie,2021,09,37,87214
4422,Carbarns,2021,09,37,735955.5
4423,Coldstream,2021,09,37,76026
4424,Cumnock,2021,09,37,446588
4425,Cupar,2021,09,37,130009
4426,Dalbeattie,2021,09,37,73584
4427,Daldowie,2021,09,37,397203
4428,Dalmarnock,2021,09,37,238238
4429,Dalmuir,2021,09,37,191488
4430,Dalmuir - Auchinairn (6298),2021,09,37,108898
4431,Dalmuir - Auchinairn (6330),2021,09,37,863129
4432,Denny,2021,09,37,27235
4433,Dunbar,2021,09,37,146913
4434,Dunblane,2021,09,37,194134.5
4435,Dunfermline,2021,09,37,470897
4436,Dunnswood,2021,09,37,222690
4437,Duns,2021,09,37,65399
4438,East Calder,2021,09,37,336120
4439,Eyemouth,2021,09,37,61693
4440,Fairlie,2021,09,37,84398
4441,Falkirk,2021,09,37,184638.5
4442,Fauldhouse,2021,09,37,387858
4443,Forfar,2021,09,37,237266
4444,Forres,2021,09,37,15415
4445,Fort William,2021,09,37,123028
4446,Fraserburgh,2021,09,37,235433
4447,Galashiels,2021,09,37,29333
4448,Girvan,2021,09,37,339667
4449,Guardbridge,2021,09,37,107561
4450,Hamilton,2021,09,37,779925
4451,Hatton,2021,09,37,337814.5
4452,Hatton - Fintry East,2021,09,37,1424406
4453,Hawick,2021,09,37,37390
4454,Helensburgh,2021,09,37,73612
4455,Inverclyde,2021,09,37,179222.5
4456,Inverclyde - Gourock,2021,09,37,154482
4457,Inverurie,2021,09,37,218584
4458,Ironmill Bay,2021,09,37,43107
4459,Kelso,2021,09,37,44665
4460,Kirkcaldy,2021,09,37,311418.5
4461,Lanark,2021,09,37,NA
4462,Langholm,2021,09,37,464692
4463,Largs,2021,09,37,114929.5
4464,Lerwick,2021,09,37,41917
4465,Lesmahagow,2021,09,37,154126
4466,Linlithgow,2021,09,37,434850.5
4467,Loch Ryan,2021,09,37,78660
4468,Lockerbie,2021,09,37,276876
4469,Lossiemouth,2021,09,37,197271
4470,Maybole,2021,09,37,564251
4471,Meadowhead,2021,09,37,604668.5
4472,Nairn,2021,09,37,119155
4473,Neilston,2021,09,37,191262
4474,New Cumnock,2021,09,37,296846
4475,Newburgh,2021,09,37,122725
4476,Newport & Tayport,2021,09,37,166184
4477,Newtown St Boswell,2021,09,37,69919.5
4478,Nigg,2021,09,37,44003.5
4479,Paisley,2021,09,37,238883
4480,Paisley - Blackhall,2021,09,37,339762
4481,Paisley - Brediland,2021,09,37,15914
4482,Penicuik,2021,09,37,423665
4483,Perth,2021,09,37,347741.5
4484,Peterhead,2021,09,37,155660
